Transaction_ID,Application_ID,Transaction_Date,Account_Type,Transaction_Type,Description,Amount,Debit_Credit,Category,Counterparty_Type,Balance,GST_Related,EMI_Related,Salary_or_Business_Income,Recurring,Anomaly_Flag,Round_Trip_Flag,Bounce_Flag
TXN000024,APP00033,2024-02-01,Current,NEFT,Transfer,24723,Debit,Vendor Payment,Vendor,-63992,No,No,No,No,No,No,No
TXN000025,APP00041,2024-02-01,Current,NEFT,Transfer,4087,Debit,Vendor Payment,Vendor,-68079,No,No,No,No,No,No,No
TXN000026,APP00005,2024-02-01,Current,NEFT,Transfer,45596,Credit,Salary,Vendor,-22483,No,No,Yes,No,No,No,No
TXN000027,APP00001,2024-02-01,Current,NEFT,Transfer,31674,Credit,Salary,Vendor,9191,No,No,Yes,No,No,No,No
TXN000028,APP00042,2024-02-01,Current,NEFT,Transfer,8507,Credit,Utilities,Vendor,17698,No,No,No,No,No,No,No
TXN000029,APP00030,2024-02-01,Current,NEFT,Transfer,20234,Credit,Vendor Payment,Vendor,37932,No,No,No,No,No,No,No
TXN000030,APP00049,2024-02-01,Current,NEFT,Transfer,48323,Credit,Salary,Vendor,86255,No,No,Yes,No,Yes,No,No
TXN000031,APP00041,2024-02-01,Current,NEFT,Transfer,41979,Credit,Utilities,Vendor,128234,No,No,No,No,No,No,No
TXN000032,APP00049,2024-02-01,Current,NEFT,Transfer,14035,Debit,GST,Vendor,114199,Yes,No,No,No,No,No,No
TXN000033,APP00021,2024-02-01,Current,NEFT,Transfer,35757,Debit,Salary,Vendor,78442,No,No,Yes,No,No,No,No
TXN000034,APP00020,2024-02-01,Current,NEFT,Transfer,8331,Credit,Utilities,Vendor,86773,No,No,No,No,No,No,No
TXN000035,APP00047,2024-02-01,Current,NEFT,Transfer,16785,Debit,Business Revenue,Vendor,69988,No,No,Yes,No,No,No,No
TXN000036,APP00043,2024-02-01,Current,NEFT,Transfer,5535,Debit,Vendor Payment,Vendor,64453,No,No,No,No,No,No,No
TXN000037,APP00034,2024-02-01,Current,NEFT,Transfer,37031,Debit,GST,Vendor,27422,Yes,No,No,Yes,No,No,No
TXN000038,APP00049,2024-02-01,Current,NEFT,Transfer,28730,Debit,Salary,Vendor,-1308,No,No,Yes,No,No,No,No
TXN000039,APP00043,2024-02-01,Current,NEFT,Transfer,14182,Credit,EMI,Vendor,12874,No,Yes,No,No,No,No,No
TXN000040,APP00016,2024-02-01,Current,NEFT,Transfer,29711,Credit,Business Revenue,Vendor,42585,No,No,Yes,No,No,No,No
TXN000041,APP00036,2024-02-01,Current,NEFT,Transfer,23156,Debit,Salary,Vendor,19429,No,No,Yes,No,No,No,No
TXN000042,APP00046,2024-02-01,Current,NEFT,Transfer,15432,Debit,Business Revenue,Vendor,3997,No,No,Yes,No,No,No,No
TXN000043,APP00022,2024-02-01,Current,NEFT,Transfer,16003,Debit,Business Revenue,Vendor,-12006,No,No,Yes,No,No,No,No
TXN000044,APP00032,2024-02-01,Current,NEFT,Transfer,16597,Credit,Rent,Vendor,4591,No,No,No,No,No,No,No
TXN000045,APP00031,2024-02-01,Current,NEFT,Transfer,9671,Credit,Vendor Payment,Vendor,14262,No,No,No,Yes,No,No,No
TXN000046,APP00043,2024-02-01,Current,NEFT,Transfer,13478,Debit,Business Revenue,Vendor,784,No,No,Yes,No,No,No,No
TXN000047,APP00047,2024-02-01,Current,NEFT,Transfer,28759,Credit,EMI,Vendor,29543,No,Yes,No,No,No,No,No
TXN000048,APP00026,2024-02-01,Current,NEFT,Transfer,43824,Debit,Business Revenue,Vendor,-14281,No,No,Yes,No,No,No,No
TXN000049,APP00013,2024-02-01,Current,NEFT,Transfer,8161,Debit,Vendor Payment,Vendor,-22442,No,No,No,No,No,No,No
TXN000050,APP00018,2024-02-01,Current,NEFT,Transfer,10186,Credit,Vendor Payment,Vendor,-12256,No,No,No,No,No,No,No
TXN000051,APP00036,2024-02-01,Current,NEFT,Transfer,5940,Credit,Utilities,Vendor,-6316,No,No,No,No,No,No,No
TXN000052,APP00049,2024-02-01,Current,NEFT,Transfer,43738,Debit,Business Revenue,Vendor,-50054,No,No,Yes,Yes,No,No,No
TXN000053,APP00031,2024-02-01,Current,NEFT,Transfer,11899,Credit,EMI,Vendor,-38155,No,Yes,No,No,No,No,No
TXN000054,APP00025,2024-02-01,Current,NEFT,Transfer,27282,Debit,Vendor Payment,Vendor,-65437,No,No,No,No,No,No,No
TXN000055,APP00030,2024-02-01,Current,NEFT,Transfer,26586,Credit,Utilities,Vendor,-38851,No,No,No,No,No,No,No
TXN000056,APP00013,2024-02-01,Current,NEFT,Transfer,46651,Credit,Vendor Payment,Vendor,7800,No,No,No,No,Yes,No,No
TXN000057,APP00021,2024-02-01,Current,NEFT,Transfer,38957,Debit,Rent,Vendor,-31157,No,No,No,No,No,No,No
TXN000058,APP00034,2024-02-01,Current,NEFT,Transfer,39284,Credit,Salary,Vendor,8127,No,No,Yes,No,No,No,No
TXN000059,APP00012,2024-02-01,Current,NEFT,Transfer,34281,Debit,Utilities,Vendor,-26154,No,No,No,No,No,No,No
TXN000060,APP00008,2024-02-01,Current,NEFT,Transfer,5453,Debit,EMI,Vendor,-31607,No,Yes,No,Yes,No,No,No
TXN000061,APP00039,2024-02-01,Current,NEFT,Transfer,38334,Debit,Salary,Vendor,-69941,No,No,Yes,No,No,No,No
TXN000062,APP00038,2024-02-01,Current,NEFT,Transfer,6372,Credit,Rent,Vendor,-63569,No,No,No,No,No,No,No
TXN000063,APP00043,2024-02-01,Current,NEFT,Transfer,21733,Credit,Vendor Payment,Vendor,-41836,No,No,No,No,No,No,No
TXN000064,APP00009,2024-02-01,Current,NEFT,Transfer,16642,Credit,EMI,Vendor,-25194,No,Yes,No,No,No,No,No
TXN000065,APP00049,2024-02-01,Current,NEFT,Transfer,20660,Credit,GST,Vendor,-4534,Yes,No,No,Yes,No,No,No
TXN000066,APP00037,2024-02-01,Current,NEFT,Transfer,1610,Credit,Salary,Vendor,-2924,No,No,Yes,Yes,No,No,No
TXN000067,APP00017,2024-02-01,Current,NEFT,Transfer,5801,Debit,Salary,Vendor,-8725,No,No,Yes,No,No,No,No
TXN000068,APP00024,2024-02-01,Current,NEFT,Transfer,23872,Debit,Vendor Payment,Vendor,-32597,No,No,No,No,No,No,No
TXN000069,APP00042,2024-02-01,Current,NEFT,Transfer,29716,Credit,Salary,Vendor,-2881,No,No,Yes,No,No,No,No
TXN000070,APP00007,2024-02-01,Current,NEFT,Transfer,44769,Credit,Rent,Vendor,41888,No,No,No,Yes,No,No,No
TXN000071,APP00007,2024-02-01,Current,NEFT,Transfer,9800,Credit,Business Revenue,Vendor,51688,No,No,Yes,No,No,No,No
TXN000072,APP00039,2024-02-01,Current,NEFT,Transfer,11187,Credit,GST,Vendor,62875,Yes,No,No,No,No,No,No
TXN000073,APP00041,2024-02-01,Current,NEFT,Transfer,23471,Debit,Rent,Vendor,39404,No,No,No,Yes,No,No,No
TXN000074,APP00004,2024-02-01,Current,NEFT,Transfer,34122,Credit,GST,Vendor,73526,Yes,No,No,No,No,No,No
TXN000075,APP00001,2024-02-01,Current,NEFT,Transfer,28759,Credit,Business Revenue,Vendor,102285,No,No,Yes,No,No,No,No
TXN000076,APP00048,2024-02-01,Current,NEFT,Transfer,9573,Credit,Vendor Payment,Vendor,111858,No,No,No,No,No,No,No
TXN000077,APP00001,2024-02-01,Current,NEFT,Transfer,47246,Credit,Salary,Vendor,159104,No,No,Yes,No,Yes,No,No
TXN000078,APP00003,2024-02-01,Current,NEFT,Transfer,46286,Debit,Salary,Vendor,112818,No,No,Yes,Yes,No,No,No
TXN000079,APP00003,2024-02-01,Current,NEFT,Transfer,10705,Credit,Vendor Payment,Vendor,123523,No,No,No,No,No,No,No
TXN000080,APP00044,2024-02-01,Current,NEFT,Transfer,3614,Credit,Vendor Payment,Vendor,127137,No,No,No,No,No,No,No
TXN000081,APP00036,2024-02-01,Current,NEFT,Transfer,7736,Credit,Utilities,Vendor,134873,No,No,No,Yes,No,No,No
TXN000082,APP00011,2024-02-01,Current,NEFT,Transfer,27632,Debit,Vendor Payment,Vendor,107241,No,No,No,Yes,No,No,No
TXN000083,APP00012,2024-02-01,Current,NEFT,Transfer,12603,Credit,Business Revenue,Vendor,119844,No,No,Yes,No,No,No,No
TXN000084,APP00043,2024-02-01,Current,NEFT,Transfer,22770,Credit,Utilities,Vendor,142614,No,No,No,Yes,No,No,No
TXN000085,APP00045,2024-02-01,Current,NEFT,Transfer,17263,Credit,Vendor Payment,Vendor,159877,No,No,No,No,No,No,No
TXN000086,APP00013,2024-02-01,Current,NEFT,Transfer,3537,Credit,Vendor Payment,Vendor,163414,No,No,No,Yes,No,No,No
TXN000087,APP00015,2024-02-01,Current,NEFT,Transfer,31166,Credit,GST,Vendor,194580,Yes,No,No,No,No,No,No
TXN000088,APP00022,2024-02-01,Current,NEFT,Transfer,44255,Debit,EMI,Vendor,150325,No,Yes,No,No,No,No,No
TXN000089,APP00042,2024-02-01,Current,NEFT,Transfer,5549,Credit,GST,Vendor,155874,Yes,No,No,No,No,No,No
TXN000090,APP00008,2024-02-01,Current,NEFT,Transfer,45532,Credit,Business Revenue,Vendor,201406,No,No,Yes,Yes,No,No,No
TXN000091,APP00007,2024-02-01,Current,NEFT,Transfer,39049,Credit,Business Revenue,Vendor,240455,No,No,Yes,No,No,No,No
TXN000092,APP00039,2024-02-01,Current,NEFT,Transfer,23654,Credit,EMI,Vendor,264109,No,Yes,No,Yes,No,No,No
TXN000093,APP00013,2024-02-01,Current,NEFT,Transfer,8578,Credit,Salary,Vendor,272687,No,No,Yes,No,No,No,No
TXN000094,APP00034,2024-02-01,Current,NEFT,Transfer,47450,Credit,Business Revenue,Vendor,320137,No,No,Yes,Yes,No,No,No
TXN000095,APP00028,2024-02-01,Current,NEFT,Transfer,48148,Debit,GST,Vendor,271989,Yes,No,No,No,No,No,No
TXN000096,APP00008,2024-02-01,Current,NEFT,Transfer,22639,Credit,Rent,Vendor,294628,No,No,No,No,No,No,No
TXN000097,APP00027,2024-02-01,Current,NEFT,Transfer,20681,Credit,Rent,Vendor,315309,No,No,No,No,No,No,No
TXN000098,APP00009,2024-02-01,Current,NEFT,Transfer,46692,Credit,Salary,Vendor,362001,No,No,Yes,No,No,No,No
TXN000099,APP00037,2024-02-01,Current,NEFT,Transfer,25847,Debit,Salary,Vendor,336154,No,No,Yes,No,No,No,No
TXN000100,APP00019,2024-02-01,Current,NEFT,Transfer,36909,Debit,GST,Vendor,299245,Yes,No,No,No,No,No,No
TXN000101,APP00029,2024-02-01,Current,NEFT,Transfer,39009,Credit,EMI,Vendor,338254,No,Yes,No,No,No,No,No
TXN000102,APP00048,2024-02-01,Current,NEFT,Transfer,15005,Credit,Utilities,Vendor,353259,No,No,No,No,No,No,No
TXN000103,APP00043,2024-02-01,Current,NEFT,Transfer,6557,Credit,Salary,Vendor,359816,No,No,Yes,No,No,No,No
TXN000104,APP00049,2024-02-01,Current,NEFT,Transfer,22966,Debit,Utilities,Vendor,336850,No,No,No,No,No,No,No
TXN000105,APP00013,2024-02-01,Current,NEFT,Transfer,21343,Debit,Utilities,Vendor,315507,No,No,No,No,No,No,No
TXN000106,APP00040,2024-02-01,Current,NEFT,Transfer,4028,Debit,EMI,Vendor,311479,No,Yes,No,Yes,No,No,No
TXN000107,APP00041,2024-02-01,Current,NEFT,Transfer,5772,Credit,EMI,Vendor,317251,No,Yes,No,No,No,No,No
TXN000108,APP00026,2024-02-01,Current,NEFT,Transfer,48077,Credit,EMI,Vendor,365328,No,Yes,No,No,No,No,No
TXN000109,APP00028,2024-02-01,Current,NEFT,Transfer,1363,Debit,Utilities,Vendor,363965,No,No,No,No,No,No,No
TXN000110,APP00036,2024-02-01,Current,NEFT,Transfer,46607,Credit,Business Revenue,Vendor,410572,No,No,Yes,No,No,No,No
TXN000111,APP00030,2024-02-01,Current,NEFT,Transfer,30914,Debit,Utilities,Vendor,379658,No,No,No,No,No,No,No
TXN000112,APP00029,2024-02-01,Current,NEFT,Transfer,37629,Credit,Utilities,Vendor,417287,No,No,No,No,No,No,No
TXN000113,APP00036,2024-02-01,Current,NEFT,Transfer,48138,Credit,Utilities,Vendor,465425,No,No,No,No,No,No,No
TXN000114,APP00049,2024-02-01,Current,NEFT,Transfer,32108,Credit,GST,Vendor,497533,Yes,No,No,No,No,No,No
TXN000115,APP00050,2024-02-01,Current,NEFT,Transfer,42789,Credit,Utilities,Vendor,540322,No,No,No,No,No,No,No
TXN000116,APP00029,2024-02-01,Current,NEFT,Transfer,42074,Debit,GST,Vendor,498248,Yes,No,No,No,No,No,No
TXN000117,APP00022,2024-02-01,Current,NEFT,Transfer,19725,Debit,GST,Vendor,478523,Yes,No,No,No,No,No,No
TXN000118,APP00010,2024-02-01,Current,NEFT,Transfer,36399,Debit,Vendor Payment,Vendor,442124,No,No,No,No,No,No,No
TXN000119,APP00014,2024-02-01,Current,NEFT,Transfer,46478,Debit,Rent,Vendor,395646,No,No,No,No,No,No,No
TXN000120,APP00004,2024-02-01,Current,NEFT,Transfer,36560,Credit,EMI,Vendor,432206,No,Yes,No,No,No,No,No
TXN000121,APP00038,2024-02-01,Current,NEFT,Transfer,28534,Credit,Utilities,Vendor,460740,No,No,No,Yes,No,No,No
TXN000122,APP00001,2024-02-01,Current,NEFT,Transfer,2280,Credit,EMI,Vendor,463020,No,Yes,No,Yes,No,No,No
TXN000123,APP00027,2024-02-01,Current,NEFT,Transfer,20569,Credit,Utilities,Vendor,483589,No,No,No,No,No,No,No
TXN000124,APP00015,2024-02-01,Current,NEFT,Transfer,49144,Debit,EMI,Vendor,434445,No,Yes,No,No,No,No,No
TXN000125,APP00044,2024-02-01,Current,NEFT,Transfer,26484,Credit,Rent,Vendor,460929,No,No,No,No,No,No,No
TXN000126,APP00030,2024-02-01,Current,NEFT,Transfer,48459,Debit,Utilities,Vendor,412470,No,No,No,Yes,Yes,No,No
TXN000127,APP00038,2024-02-01,Current,NEFT,Transfer,36004,Debit,EMI,Vendor,376466,No,Yes,No,No,No,No,No
TXN000128,APP00028,2024-02-01,Current,NEFT,Transfer,2776,Debit,Rent,Vendor,373690,No,No,No,No,No,No,No
TXN000129,APP00017,2024-02-01,Current,NEFT,Transfer,31257,Debit,Business Revenue,Vendor,342433,No,No,Yes,No,No,No,No
TXN000130,APP00022,2024-02-01,Current,NEFT,Transfer,14871,Credit,GST,Vendor,357304,Yes,No,No,No,No,No,No
TXN000131,APP00027,2024-02-01,Current,NEFT,Transfer,25846,Credit,Utilities,Vendor,383150,No,No,No,No,No,No,No
TXN000132,APP00048,2024-02-01,Current,NEFT,Transfer,6367,Credit,Business Revenue,Vendor,389517,No,No,Yes,No,No,No,No
TXN000133,APP00005,2024-02-01,Current,NEFT,Transfer,23935,Debit,Rent,Vendor,365582,No,No,No,No,No,No,No
TXN000134,APP00002,2024-02-01,Current,NEFT,Transfer,43713,Debit,Utilities,Vendor,321869,No,No,No,Yes,No,No,No
TXN000135,APP00010,2024-02-01,Current,NEFT,Transfer,14065,Debit,Salary,Vendor,307804,No,No,Yes,No,No,No,No
TXN000136,APP00014,2024-02-01,Current,NEFT,Transfer,32035,Debit,Salary,Vendor,275769,No,No,Yes,No,No,No,No
TXN000137,APP00039,2024-02-01,Current,NEFT,Transfer,17793,Credit,Vendor Payment,Vendor,293562,No,No,No,No,No,No,No
TXN000138,APP00011,2024-02-01,Current,NEFT,Transfer,48078,Debit,Utilities,Vendor,245484,No,No,No,Yes,No,No,No
TXN000139,APP00044,2024-02-01,Current,NEFT,Transfer,2682,Credit,Salary,Vendor,248166,No,No,Yes,Yes,No,No,No
TXN000140,APP00013,2024-02-01,Current,NEFT,Transfer,25596,Credit,Rent,Vendor,273762,No,No,No,No,No,No,No
TXN000141,APP00045,2024-02-01,Current,NEFT,Transfer,46260,Debit,Business Revenue,Vendor,227502,No,No,Yes,No,No,No,No
TXN000142,APP00037,2024-02-01,Current,NEFT,Transfer,40348,Debit,Utilities,Vendor,187154,No,No,No,No,No,No,No
TXN000143,APP00024,2024-02-01,Current,NEFT,Transfer,23754,Credit,Rent,Vendor,210908,No,No,No,No,No,No,No
TXN000144,APP00027,2024-02-01,Current,NEFT,Transfer,43437,Credit,Business Revenue,Vendor,254345,No,No,Yes,Yes,No,No,No
TXN000145,APP00041,2024-02-01,Current,NEFT,Transfer,7916,Credit,GST,Vendor,262261,Yes,No,No,Yes,No,No,No
TXN000146,APP00012,2024-02-01,Current,NEFT,Transfer,31129,Debit,EMI,Vendor,231132,No,Yes,No,No,No,No,No
TXN000147,APP00035,2024-02-01,Current,NEFT,Transfer,43628,Credit,Salary,Vendor,274760,No,No,Yes,No,No,No,No
TXN000148,APP00047,2024-02-01,Current,NEFT,Transfer,31465,Credit,Utilities,Vendor,306225,No,No,No,No,No,No,No
TXN000149,APP00006,2024-02-01,Current,NEFT,Transfer,22122,Debit,Utilities,Vendor,284103,No,No,No,No,No,No,No
TXN000150,APP00030,2024-02-01,Current,NEFT,Transfer,30543,Debit,Utilities,Vendor,253560,No,No,No,No,No,No,No
TXN000151,APP00002,2024-02-01,Current,NEFT,Transfer,44790,Credit,GST,Vendor,298350,Yes,No,No,No,No,No,No
TXN000152,APP00014,2024-02-01,Current,NEFT,Transfer,22300,Debit,EMI,Vendor,276050,No,Yes,No,No,No,No,No
TXN000153,APP00039,2024-02-01,Current,NEFT,Transfer,17931,Credit,GST,Vendor,293981,Yes,No,No,No,No,No,No
TXN000154,APP00013,2024-02-01,Current,NEFT,Transfer,19105,Debit,Salary,Vendor,274876,No,No,Yes,No,No,No,No
TXN000155,APP00036,2024-02-01,Current,NEFT,Transfer,48190,Credit,EMI,Vendor,323066,No,Yes,No,No,No,No,No
TXN000156,APP00002,2024-02-01,Current,NEFT,Transfer,43329,Credit,EMI,Vendor,366395,No,Yes,No,No,No,No,No
TXN000157,APP00016,2024-02-01,Current,NEFT,Transfer,15522,Credit,Rent,Vendor,381917,No,No,No,No,No,No,No
TXN000158,APP00036,2024-02-01,Current,NEFT,Transfer,39112,Credit,EMI,Vendor,421029,No,Yes,No,No,No,No,No
TXN000159,APP00045,2024-02-01,Current,NEFT,Transfer,28885,Credit,GST,Vendor,449914,Yes,No,No,No,No,No,No
TXN000160,APP00008,2024-02-01,Current,NEFT,Transfer,21094,Credit,Vendor Payment,Vendor,471008,No,No,No,No,No,No,No
TXN000161,APP00035,2024-02-01,Current,NEFT,Transfer,21679,Debit,Rent,Vendor,449329,No,No,No,Yes,No,No,No
TXN000162,APP00014,2024-02-01,Current,NEFT,Transfer,46230,Debit,Vendor Payment,Vendor,403099,No,No,No,No,No,No,No
TXN000163,APP00013,2024-02-01,Current,NEFT,Transfer,39639,Credit,Business Revenue,Vendor,442738,No,No,Yes,No,No,No,No
TXN000164,APP00001,2024-02-01,Current,NEFT,Transfer,24650,Debit,GST,Vendor,418088,Yes,No,No,No,No,No,No
TXN000165,APP00004,2024-02-01,Current,NEFT,Transfer,9295,Credit,Business Revenue,Vendor,427383,No,No,Yes,No,No,No,No
TXN000166,APP00049,2024-02-01,Current,NEFT,Transfer,46705,Debit,Rent,Vendor,380678,No,No,No,No,No,No,No
TXN000167,APP00031,2024-02-01,Current,NEFT,Transfer,38621,Credit,EMI,Vendor,419299,No,Yes,No,No,No,No,No
TXN000168,APP00031,2024-02-01,Current,NEFT,Transfer,13082,Debit,GST,Vendor,406217,Yes,No,No,No,No,No,No
TXN000169,APP00005,2024-02-01,Current,NEFT,Transfer,5282,Credit,EMI,Vendor,411499,No,Yes,No,No,No,No,No
TXN000170,APP00010,2024-02-01,Current,NEFT,Transfer,45987,Debit,Vendor Payment,Vendor,365512,No,No,No,Yes,Yes,No,No
TXN000171,APP00036,2024-02-01,Current,NEFT,Transfer,6582,Debit,Business Revenue,Vendor,358930,No,No,Yes,No,No,No,No
TXN000172,APP00034,2024-02-01,Current,NEFT,Transfer,40735,Debit,Utilities,Vendor,318195,No,No,No,No,No,No,No
TXN000173,APP00038,2024-02-01,Current,NEFT,Transfer,30014,Credit,Utilities,Vendor,348209,No,No,No,Yes,No,No,No
TXN000174,APP00048,2024-02-01,Current,NEFT,Transfer,21013,Debit,Salary,Vendor,327196,No,No,Yes,No,No,No,No
TXN000175,APP00043,2024-02-01,Current,NEFT,Transfer,14617,Debit,GST,Vendor,312579,Yes,No,No,No,No,No,No
TXN000176,APP00005,2024-02-01,Current,NEFT,Transfer,16719,Debit,Salary,Vendor,295860,No,No,Yes,No,No,No,No
TXN000177,APP00039,2024-02-01,Current,NEFT,Transfer,27772,Credit,Rent,Vendor,323632,No,No,No,No,No,No,No
TXN000178,APP00046,2024-02-01,Current,NEFT,Transfer,3139,Debit,GST,Vendor,320493,Yes,No,No,No,No,No,No
TXN000179,APP00015,2024-02-01,Current,NEFT,Transfer,30755,Debit,Rent,Vendor,289738,No,No,No,Yes,No,No,No
TXN000180,APP00008,2024-02-01,Current,NEFT,Transfer,41963,Debit,EMI,Vendor,247775,No,Yes,No,No,No,No,No
TXN000181,APP00010,2024-02-01,Current,NEFT,Transfer,43443,Debit,GST,Vendor,204332,Yes,No,No,No,No,No,No
TXN000182,APP00048,2024-02-01,Current,NEFT,Transfer,11873,Credit,Salary,Vendor,216205,No,No,Yes,Yes,No,No,No
TXN000183,APP00030,2024-02-01,Current,NEFT,Transfer,19914,Credit,Business Revenue,Vendor,236119,No,No,Yes,No,No,No,No
TXN000184,APP00033,2024-02-01,Current,NEFT,Transfer,46857,Credit,GST,Vendor,282976,Yes,No,No,No,No,No,No
TXN000185,APP00048,2024-02-01,Current,NEFT,Transfer,40192,Debit,EMI,Vendor,242784,No,Yes,No,No,No,No,No
TXN000186,APP00015,2024-02-01,Current,NEFT,Transfer,17408,Debit,Business Revenue,Vendor,225376,No,No,Yes,Yes,No,No,No
TXN000187,APP00044,2024-02-01,Current,NEFT,Transfer,38696,Debit,Utilities,Vendor,186680,No,No,No,Yes,No,No,No
TXN000188,APP00049,2024-02-01,Current,NEFT,Transfer,38764,Debit,Utilities,Vendor,147916,No,No,No,No,No,No,No
TXN000189,APP00012,2024-02-01,Current,NEFT,Transfer,35010,Credit,GST,Vendor,182926,Yes,No,No,Yes,No,No,No
TXN000190,APP00031,2024-02-01,Current,NEFT,Transfer,29566,Credit,Business Revenue,Vendor,212492,No,No,Yes,No,No,No,No
TXN000191,APP00007,2024-02-01,Current,NEFT,Transfer,22843,Credit,Rent,Vendor,235335,No,No,No,Yes,No,No,No
TXN000192,APP00032,2024-02-01,Current,NEFT,Transfer,22614,Credit,Rent,Vendor,257949,No,No,No,No,No,No,No
TXN000193,APP00006,2024-02-01,Current,NEFT,Transfer,27244,Debit,EMI,Vendor,230705,No,Yes,No,No,No,No,No
TXN000194,APP00026,2024-02-01,Current,NEFT,Transfer,22186,Debit,Utilities,Vendor,208519,No,No,No,Yes,No,No,No
TXN000195,APP00004,2024-02-01,Current,NEFT,Transfer,1075,Credit,EMI,Vendor,209594,No,Yes,No,No,No,No,No
TXN000196,APP00029,2024-02-01,Current,NEFT,Transfer,24709,Credit,Rent,Vendor,234303,No,No,No,No,No,No,No
TXN000197,APP00009,2024-02-01,Current,NEFT,Transfer,14340,Credit,Salary,Vendor,248643,No,No,Yes,Yes,No,No,No
TXN000198,APP00002,2024-02-01,Current,NEFT,Transfer,29712,Credit,Business Revenue,Vendor,278355,No,No,Yes,Yes,No,No,No
TXN000199,APP00011,2024-02-01,Current,NEFT,Transfer,40903,Debit,Rent,Vendor,237452,No,No,No,No,No,No,No
TXN000200,APP00015,2024-02-01,Current,NEFT,Transfer,1896,Credit,Business Revenue,Vendor,239348,No,No,Yes,Yes,No,No,No
TXN000201,APP00042,2024-02-01,Current,NEFT,Transfer,8435,Credit,Business Revenue,Vendor,247783,No,No,Yes,Yes,No,No,No
TXN000202,APP00046,2024-02-01,Current,NEFT,Transfer,33661,Credit,Salary,Vendor,281444,No,No,Yes,No,No,No,No
TXN000203,APP00030,2024-02-01,Current,NEFT,Transfer,32621,Credit,Vendor Payment,Vendor,314065,No,No,No,No,No,No,No
TXN000204,APP00033,2024-02-01,Current,NEFT,Transfer,26138,Debit,Salary,Vendor,287927,No,No,Yes,No,No,No,No
TXN000205,APP00050,2024-02-01,Current,NEFT,Transfer,9946,Debit,GST,Vendor,277981,Yes,No,No,No,No,No,No
