Application_ID,Application_Date,State,City,MSME_Sector,Business_Vintage_Years,Annual_Turnover,GST_Turnover,ITR_Income,Monthly_Cash_Inflow,Monthly_Cash_Outflow,Existing_Obligations,Requested_Loan,Approved_Loan,Tenure_Months,Interest_Rate,Credit_Bureau_Score,Alternative_Data_Score,MSME_Risk_Rank,DPD_30_Count,DPD_90_Count,Bank_Statement_Risk_Flag,Fraud_Flag,KYC_Status,Underwriting_Status,Approval_Status,Disbursement_Status,Processing_TAT_Hours,Region,Lender_Type
APP00033,2024-01-15,Maharashtra,Mumbai,Technology,6,7283308,3168991,7350672,295047,96913,81560,3361970,0,60,9.73,607,75,High,0,0,No,No,Completed,Completed,Rejected,N/A,142,West,NBFC
APP00034,2024-01-15,Maharashtra,Mumbai,Retail,6,4051070,8028588,3041781,226947,228771,36471,3280153,0,48,11.64,666,55,Medium,0,0,No,No,Completed,Completed,Rejected,N/A,113,North,NBFC
APP00035,2024-01-15,Maharashtra,Mumbai,Retail,13,1020596,4548725,1972358,489997,40684,81439,437709,437709,24,11.53,799,80,High,0,0,No,No,Completed,Completed,Approved,Completed,143,North,NBFC
APP00036,2024-01-15,Maharashtra,Mumbai,Services,13,3247534,5618367,1206798,353397,43462,40888,1060771,0,60,15.26,642,74,Medium,1,0,No,No,Completed,Completed,Rejected,N/A,86,East,NBFC
APP00037,2024-01-15,Maharashtra,Mumbai,Manufacturing,13,9994772,1089025,3212556,329311,254593,86706,1115483,1115483,36,10.09,817,91,Medium,0,0,Yes,No,Completed,Completed,Approved,Completed,149,East,NBFC
APP00038,2024-01-15,Maharashtra,Mumbai,Manufacturing,12,3066765,7706261,1777543,434720,303545,85256,3956573,3956573,36,14.74,845,84,Medium,0,0,No,No,Completed,Completed,Approved,Completed,92,West,NBFC
APP00039,2024-01-15,Maharashtra,Mumbai,Services,15,8063202,4491349,6595451,293641,328765,79997,2439819,2439819,48,12.36,812,81,Medium,0,0,No,No,Completed,Completed,Approved,Completed,90,South,NBFC
APP00040,2024-01-15,Maharashtra,Mumbai,Services,9,670307,3605394,1018173,176540,243085,64038,2417508,2417508,60,15.94,825,94,Medium,0,0,No,No,Completed,Completed,Approved,Completed,28,East,NBFC
APP00041,2024-01-15,Maharashtra,Mumbai,Manufacturing,12,4581983,5537284,5869700,354902,223472,62031,3492362,0,60,14.01,656,77,High,2,0,No,No,Completed,Completed,Rejected,N/A,102,East,NBFC
APP00042,2024-01-15,Maharashtra,Mumbai,Services,6,2505795,3506298,1906762,163447,283859,36241,1715514,0,60,17.8,630,83,High,2,0,No,No,Completed,Completed,Rejected,N/A,116,South,NBFC
APP00043,2024-01-15,Maharashtra,Mumbai,Retail,3,5102180,1163626,757397,340119,183163,91411,4580649,0,24,14.92,603,98,Medium,0,0,No,No,Completed,Completed,Rejected,N/A,136,East,NBFC
APP00044,2024-01-15,Maharashtra,Mumbai,Services,2,1596280,7122755,4425069,88840,332525,82502,4107482,0,12,10.79,847,86,Medium,0,0,No,No,Completed,Completed,Rejected,N/A,166,South,NBFC
APP00045,2024-01-15,Maharashtra,Mumbai,Technology,15,7927625,5388757,7515600,358556,254830,40026,3879189,3879189,60,14.78,798,89,High,0,0,No,No,Completed,Completed,Approved,Completed,78,South,NBFC
APP00046,2024-01-15,Maharashtra,Mumbai,Services,3,9760893,1659379,1613090,51402,244180,59048,2112134,0,60,13.49,640,52,Low,2,1,No,No,Completed,Completed,Rejected,N/A,83,North,NBFC
APP00047,2024-01-15,Maharashtra,Mumbai,Services,11,2999627,4856573,7234284,124572,67439,7816,1985838,1985838,24,16.24,708,88,High,0,0,No,No,Completed,Completed,Approved,Completed,136,South,NBFC
APP00048,2024-01-15,Maharashtra,Mumbai,Manufacturing,5,8896529,8684509,3972187,92174,343543,5224,3476486,3476486,48,15.74,776,88,Medium,0,0,Yes,No,Completed,Completed,Approved,Completed,29,West,NBFC
APP00049,2024-01-15,Maharashtra,Mumbai,Services,9,7919378,5066692,1822441,356881,258529,83202,4046846,4046846,48,17.74,795,80,Medium,0,0,No,No,Completed,Completed,Approved,Completed,50,North,NBFC
APP00050,2024-01-15,Maharashtra,Mumbai,Retail,11,7218473,1015675,4115356,96168,194897,33082,2517746,2517746,36,10.49,705,99,Medium,0,0,No,No,Completed,Completed,Approved,Completed,24,East,NBFC
APP00051,2024-01-15,Maharashtra,Mumbai,Agriculture,6,8863326,7816216,6675262,77059,136723,35003,4448984,0,60,10.61,705,68,Medium,0,0,No,No,Completed,Completed,Rejected,N/A,31,West,NBFC
APP00052,2024-01-15,Maharashtra,Mumbai,Agriculture,1,9765241,7244947,1081895,167807,89486,60482,4720772,4720772,12,15.01,781,59,Medium,0,0,No,No,Completed,Completed,Approved,Completed,93,South,NBFC
APP00053,2024-01-15,Maharashtra,Mumbai,Technology,9,2926689,6835505,1898955,364246,296464,97818,3931802,3931802,24,16.84,850,67,Medium,0,0,No,No,Completed,Completed,Approved,Completed,92,West,NBFC
APP00054,2024-01-15,Maharashtra,Mumbai,Manufacturing,11,8714801,2893017,4045911,332371,283934,45236,4964749,4964749,36,14.19,785,84,Medium,0,0,No,No,Completed,Completed,Approved,Completed,72,East,NBFC
APP00055,2024-01-15,Maharashtra,Mumbai,Retail,1,5838112,8335224,6215880,475411,229874,50604,3545831,0,24,13.71,659,52,Low,2,0,No,No,Completed,Completed,Rejected,N/A,136,West,NBFC
APP00056,2024-01-15,Maharashtra,Mumbai,Manufacturing,7,3089751,1655409,4238372,459744,168948,44375,1309263,0,60,15.39,603,91,Low,2,1,No,No,Completed,Completed,Rejected,N/A,148,West,NBFC
APP00057,2024-01-15,Maharashtra,Mumbai,Agriculture,4,2016313,7680833,1125800,448652,362266,92260,2510709,0,12,13.27,758,94,Medium,0,0,No,No,Completed,Completed,Rejected,N/A,38,North,NBFC
APP00058,2024-01-15,Maharashtra,Mumbai,Services,3,4596953,7313081,5047348,407459,124401,22280,3712862,0,24,10.17,695,74,High,1,0,No,No,Completed,Completed,Rejected,N/A,83,East,NBFC
APP00059,2024-01-15,Maharashtra,Mumbai,Technology,15,8305654,5225658,5984212,336574,112824,9681,178831,178831,48,17.53,717,87,Medium,0,0,No,No,Completed,Completed,Approved,Completed,88,East,NBFC
APP00060,2024-01-15,Maharashtra,Mumbai,Technology,14,8606886,2189344,2289825,249944,329852,47049,3327040,0,60,12.01,650,94,Medium,0,0,No,No,Completed,Completed,Rejected,N/A,94,East,NBFC
APP00061,2024-01-15,Maharashtra,Mumbai,Manufacturing,14,5301541,4260745,5392430,470443,214717,28705,4266850,4266850,24,14.78,833,93,High,0,0,No,No,Completed,Completed,Approved,Completed,59,North,NBFC
APP00062,2024-01-15,Maharashtra,Mumbai,Manufacturing,1,6621355,2604724,1056093,204722,201294,97973,3797892,0,48,10.99,679,58,High,2,0,No,No,Completed,Completed,Rejected,N/A,66,North,NBFC
APP00063,2024-01-15,Maharashtra,Mumbai,Services,13,2432227,8257296,931656,123797,148287,88647,2941349,2941349,48,17.72,847,85,Medium,0,0,No,No,Completed,Completed,Approved,Completed,91,West,NBFC
APP00064,2024-01-15,Maharashtra,Mumbai,Agriculture,10,6892547,6632293,1208872,403808,152590,61797,2299169,2299169,12,14.77,716,85,Medium,0,0,No,No,Completed,Completed,Approved,Completed,40,North,NBFC
APP00065,2024-01-15,Maharashtra,Mumbai,Technology,1,1124315,5506390,4432434,110880,80956,30775,1272534,1272534,60,10.65,766,79,Medium,0,0,No,No,Completed,Completed,Approved,Completed,162,East,NBFC
APP00066,2024-01-15,Maharashtra,Mumbai,Technology,14,8709880,7247048,2646630,67152,391905,48566,930653,930653,24,13.27,826,65,Medium,0,0,No,No,Completed,Completed,Approved,Completed,163,South,NBFC
APP00067,2024-01-15,Maharashtra,Mumbai,Services,14,8128891,1938024,5859707,161204,366437,83819,1124749,1124749,60,17.75,701,53,Medium,0,0,No,No,Completed,Completed,Approved,Completed,168,North,NBFC
APP00068,2024-01-15,Maharashtra,Mumbai,Retail,10,4123062,4309069,3056157,455992,107360,78116,1837761,1837761,12,11.86,812,59,Low,0,0,No,No,Completed,Completed,Approved,Completed,52,North,NBFC
APP00069,2024-01-15,Maharashtra,Mumbai,Manufacturing,13,4491829,5831983,432381,141355,169129,6868,3105154,0,24,15.8,603,83,Low,0,1,No,No,Completed,Completed,Rejected,N/A,51,South,NBFC
APP00070,2024-01-15,Maharashtra,Mumbai,Technology,5,8184678,922621,810240,301124,240563,55872,4474249,4474249,12,13.67,842,78,Low,0,0,No,No,Completed,Completed,Approved,Completed,61,South,NBFC
APP00071,2024-01-15,Maharashtra,Mumbai,Manufacturing,12,5955706,6790515,5311286,328164,184611,59469,4699947,0,60,14.65,670,56,High,0,0,No,No,Completed,Completed,Rejected,N/A,165,South,NBFC
APP00072,2024-01-15,Maharashtra,Mumbai,Retail,6,8108449,7089582,3789574,432527,79852,40966,3571319,3571319,48,12.16,715,66,Medium,0,0,No,No,Completed,Completed,Approved,Completed,145,West,NBFC
APP00073,2024-01-15,Maharashtra,Mumbai,Manufacturing,2,6751976,2582975,4967176,81447,337476,73608,3722842,0,60,12.3,812,57,Medium,0,0,No,No,Completed,Completed,Rejected,N/A,132,North,NBFC
APP00074,2024-01-15,Maharashtra,Mumbai,Manufacturing,10,9012969,3969164,1597970,394318,282806,29392,969064,969064,12,12.48,753,85,Medium,0,0,No,No,Completed,Completed,Approved,Completed,81,East,NBFC
APP00075,2024-01-15,Maharashtra,Mumbai,Technology,1,3526879,4984716,6194664,449722,191996,44541,2343514,2343514,36,9.55,755,59,High,0,0,No,No,Completed,Completed,Approved,Completed,31,North,NBFC
APP00076,2024-01-15,Maharashtra,Mumbai,Manufacturing,8,6219285,3040889,3404230,213387,200070,74395,3621810,0,60,10.22,696,53,Low,1,0,No,No,Completed,Completed,Rejected,N/A,44,South,NBFC
APP00077,2024-01-15,Maharashtra,Mumbai,Services,7,5082979,4016647,6632922,318617,89673,45242,3808135,3808135,48,10.44,769,93,High,0,0,No,No,Completed,Completed,Approved,Completed,102,West,NBFC
APP00078,2024-01-15,Maharashtra,Mumbai,Manufacturing,1,3929650,5456977,2071959,452312,101950,33491,559544,559544,36,12.29,701,50,Medium,0,0,No,No,Completed,Completed,Approved,Completed,121,South,NBFC
APP00079,2024-01-15,Maharashtra,Mumbai,Agriculture,2,7161748,1109714,3959275,59825,271043,10205,3070969,3070969,36,14.39,728,86,Medium,0,0,No,No,Completed,Completed,Approved,Completed,53,South,NBFC
APP00080,2024-01-15,Maharashtra,Mumbai,Technology,14,6570880,1878574,3963403,492753,85502,31891,3959572,3959572,48,14.51,847,83,Low,0,0,No,No,Completed,Completed,Approved,Completed,110,North,NBFC
APP00081,2024-01-15,Maharashtra,Mumbai,Retail,11,2413049,8955575,1926582,456967,213173,46019,4382244,4382244,24,11.51,799,59,Medium,0,0,No,No,Completed,Completed,Approved,Completed,43,East,NBFC
APP00082,2024-01-15,Maharashtra,Mumbai,Retail,8,9970600,5822534,7549828,378842,195747,19786,4960930,4960930,48,10.08,718,78,High,0,0,No,No,Completed,Completed,Approved,Completed,38,West,NBFC
APP00083,2024-01-15,Maharashtra,Mumbai,Services,8,1130944,1354456,3393195,486048,180511,10057,3973376,0,12,14.73,679,82,Medium,3,0,No,No,Completed,Completed,Rejected,N/A,34,North,NBFC
APP00084,2024-01-15,Maharashtra,Mumbai,Technology,9,3031028,1438068,4079261,104264,210060,93626,4089865,0,12,13.79,682,61,Low,1,0,No,No,Completed,Completed,Rejected,N/A,158,South,NBFC
APP00085,2024-01-15,Maharashtra,Mumbai,Agriculture,15,5246166,6899771,3729006,456042,207401,88984,3227709,0,60,9.95,693,90,High,2,0,No,No,Completed,Completed,Rejected,N/A,122,South,NBFC
APP00086,2024-01-15,Maharashtra,Mumbai,Services,6,1867376,2772774,7990226,233406,192650,85990,1361422,1361422,48,10.6,785,95,Low,0,0,No,No,Completed,Completed,Approved,Completed,108,East,NBFC
APP00087,2024-01-15,Maharashtra,Mumbai,Retail,6,805857,6483379,2890956,144509,142298,44791,4365510,4365510,48,11.13,765,58,Low,0,0,No,No,Completed,Completed,Approved,Completed,49,North,NBFC
APP00088,2024-01-15,Maharashtra,Mumbai,Agriculture,10,6820310,2987931,1661028,144815,393250,81885,1199319,1199319,24,15.63,769,52,Medium,0,0,No,No,Completed,Completed,Approved,Completed,137,North,NBFC
APP00089,2024-01-15,Maharashtra,Mumbai,Agriculture,4,9459220,4412581,2896004,473951,275899,25430,3865880,3865880,36,15.27,792,86,Medium,0,0,No,No,Completed,Completed,Approved,Completed,121,East,NBFC
APP00090,2024-01-15,Maharashtra,Mumbai,Agriculture,13,2821942,4594357,737715,386162,281967,48655,1775185,1775185,60,17.44,847,95,High,0,0,No,No,Completed,Completed,Approved,Completed,65,West,NBFC
APP00091,2024-01-15,Maharashtra,Mumbai,Services,2,4225179,7968671,7720812,233283,43982,54381,3769785,3769785,12,12.87,831,73,Low,0,0,No,No,Completed,Completed,Approved,Completed,81,West,NBFC
APP00092,2024-01-15,Maharashtra,Mumbai,Manufacturing,13,2950300,2708538,621310,200407,277702,91235,2912619,0,24,15.95,838,80,Medium,0,0,No,No,Completed,Completed,Rejected,N/A,28,East,NBFC
APP00093,2024-01-15,Maharashtra,Mumbai,Services,7,2365405,5233542,2293470,207889,93883,6258,4527268,4527268,24,13.07,813,100,High,0,0,No,No,Completed,Completed,Approved,Completed,151,South,NBFC
APP00094,2024-01-15,Maharashtra,Mumbai,Agriculture,12,2908819,5286733,3900716,50820,352337,46244,2129524,2129524,24,14.35,761,61,High,0,0,No,No,Completed,Completed,Approved,Completed,116,North,NBFC
APP00095,2024-01-15,Maharashtra,Mumbai,Manufacturing,1,6990791,6662974,2427772,441809,38515,46805,4043778,0,12,12.43,699,96,High,0,0,No,No,Completed,Completed,Rejected,N/A,109,North,NBFC
APP00096,2024-01-15,Maharashtra,Mumbai,Retail,6,3437508,8195078,6133347,300888,361211,23891,4680295,0,24,10.04,690,99,Medium,0,0,No,No,Completed,Completed,Rejected,N/A,75,North,NBFC
APP00097,2024-01-15,Maharashtra,Mumbai,Manufacturing,14,9610543,8342330,2424949,69199,369162,25048,3440545,3440545,36,12.53,838,99,Low,0,0,No,No,Completed,Completed,Approved,Completed,55,East,NBFC
APP00098,2024-01-15,Maharashtra,Mumbai,Services,15,6986822,6088090,1867136,310153,392843,65211,3788778,3788778,36,17.36,827,83,Medium,0,0,No,No,Completed,Completed,Approved,Completed,44,West,NBFC
APP00099,2024-01-15,Maharashtra,Mumbai,Technology,2,6001583,5360015,2871073,283788,345947,94065,960653,960653,48,10.92,739,78,Medium,0,0,No,No,Completed,Completed,Approved,Completed,114,South,NBFC
APP00100,2024-01-15,Maharashtra,Mumbai,Agriculture,2,7315076,6495349,4604077,470005,386206,20969,581154,0,12,10.71,670,88,High,3,0,Yes,No,Completed,Completed,Rejected,N/A,117,West,NBFC
APP00101,2024-01-15,Maharashtra,Mumbai,Services,11,8048448,6623751,3420674,282752,70310,75225,1387132,1387132,24,14.0,843,75,Medium,0,0,No,No,Completed,Completed,Approved,Completed,53,West,NBFC
APP00102,2024-01-15,Maharashtra,Mumbai,Manufacturing,2,4891883,4766937,6205897,283975,142496,80199,4811652,4811652,36,15.4,727,81,Low,0,0,No,No,Completed,Completed,Approved,Completed,139,South,NBFC
APP00103,2024-01-15,Maharashtra,Mumbai,Retail,11,6328829,1489496,4913710,334253,182233,39315,2780896,0,24,15.55,622,94,High,1,1,No,No,Completed,Completed,Rejected,N/A,75,West,NBFC
APP00104,2024-01-15,Maharashtra,Mumbai,Retail,9,6689302,8241768,7041603,339221,98037,80209,3127419,3127419,12,10.06,802,75,High,0,0,No,No,Completed,Completed,Approved,Completed,128,South,NBFC
APP00105,2024-01-15,Maharashtra,Mumbai,Agriculture,11,1744282,7949319,4207692,406572,301245,45156,2759420,0,24,16.96,632,99,High,1,0,No,No,Completed,Completed,Rejected,N/A,38,North,NBFC
APP00106,2024-01-15,Maharashtra,Mumbai,Manufacturing,3,5913349,4182763,3202651,322051,178923,10336,1481243,0,36,11.17,677,85,Medium,1,0,No,No,Completed,Completed,Rejected,N/A,47,South,NBFC
APP00107,2024-01-15,Maharashtra,Mumbai,Agriculture,3,6164316,1091125,7222583,64875,72584,5958,1393475,1393475,60,11.75,751,63,High,0,0,No,No,Completed,Completed,Approved,Completed,151,South,NBFC
APP00108,2024-01-15,Maharashtra,Mumbai,Agriculture,4,7313102,5390112,4104603,88258,391031,7852,4151234,4151234,24,13.24,764,80,Medium,0,0,No,No,Completed,Completed,Approved,Completed,104,East,NBFC
APP00109,2024-01-15,Maharashtra,Mumbai,Services,9,9922943,2181470,2976938,176740,274565,16059,3208316,3208316,36,13.32,849,59,Low,0,0,No,No,Completed,Completed,Approved,Completed,131,East,NBFC
APP00110,2024-01-15,Maharashtra,Mumbai,Retail,12,5746485,3584887,6701526,133541,291234,67466,4945990,4945990,48,13.74,808,69,Medium,0,0,Yes,No,Completed,Completed,Approved,Completed,153,South,NBFC
APP00111,2024-01-15,Maharashtra,Mumbai,Technology,6,1316348,1247927,2660188,309467,343271,85755,4993445,0,48,11.93,655,50,Low,3,0,No,No,Completed,Completed,Rejected,N/A,117,South,NBFC
APP00112,2024-01-15,Maharashtra,Mumbai,Technology,1,9925722,3665774,3341069,340048,181310,9637,3460322,0,48,13.79,611,98,High,2,0,No,No,Completed,Completed,Rejected,N/A,119,East,NBFC
APP00113,2024-01-15,Maharashtra,Mumbai,Services,7,8889915,1075365,680032,70402,101846,93531,4370829,4370829,36,16.33,793,83,Medium,0,0,No,No,Completed,Completed,Approved,Completed,59,East,NBFC
APP00114,2024-01-15,Maharashtra,Mumbai,Services,10,5520319,6043410,4555666,484262,297236,69774,3396341,0,48,15.52,641,69,Medium,0,1,No,No,Completed,Completed,Rejected,N/A,130,East,NBFC
APP00115,2024-01-15,Maharashtra,Mumbai,Agriculture,10,8462302,4854861,5799495,460467,333287,75711,323532,323532,24,15.63,803,87,Medium,0,0,No,No,Completed,Completed,Approved,Completed,121,East,NBFC
APP00116,2024-01-15,Maharashtra,Mumbai,Retail,12,2343740,3600829,458858,281231,194465,54890,4903067,0,24,13.01,608,63,Medium,3,0,No,No,Completed,Completed,Rejected,N/A,167,South,NBFC
APP00117,2024-01-15,Maharashtra,Mumbai,Services,8,9444387,6143294,4882471,235748,384349,94493,1552759,1552759,36,14.69,734,62,Low,0,0,No,No,Completed,Completed,Approved,Completed,100,West,NBFC
APP00118,2024-01-15,Maharashtra,Mumbai,Services,8,6351946,4987856,2714152,113897,330667,88686,2759530,2759530,60,12.73,776,75,Medium,0,0,No,No,Completed,Completed,Approved,Completed,98,South,NBFC
APP00119,2024-01-15,Maharashtra,Mumbai,Manufacturing,15,7921839,4702415,6569129,301175,142190,26485,3005507,3005507,60,11.8,844,85,High,0,0,No,No,Completed,Completed,Approved,Completed,85,East,NBFC
APP00120,2024-01-15,Maharashtra,Mumbai,Retail,11,4406349,1280654,1140521,266688,203168,94025,1993070,1993070,48,10.35,771,99,Low,0,0,Yes,No,Completed,Completed,Approved,Completed,64,North,NBFC
APP00121,2024-01-15,Maharashtra,Mumbai,Technology,6,5288474,1392583,7916327,453033,76903,85498,2509586,2509586,60,11.47,722,97,High,0,0,No,No,Completed,Completed,Approved,Completed,68,West,NBFC
APP00122,2024-01-15,Maharashtra,Mumbai,Technology,13,8811162,3525790,6583094,201764,49643,1214,3430231,3430231,36,14.33,839,56,Medium,0,0,No,No,Completed,Completed,Approved,Completed,163,South,NBFC
APP00123,2024-01-15,Maharashtra,Mumbai,Agriculture,8,5077446,3634838,7084822,109059,203373,21298,4329642,4329642,48,15.01,827,95,Low,0,0,Yes,No,Completed,Completed,Approved,Completed,99,West,NBFC
APP00124,2024-01-15,Maharashtra,Mumbai,Agriculture,14,7675669,5901696,1027609,260152,380882,12502,3501499,0,24,17.84,644,80,Medium,1,0,No,No,Completed,Completed,Rejected,N/A,92,South,NBFC
APP00125,2024-01-15,Maharashtra,Mumbai,Services,5,6532283,4364499,821136,400112,91983,61000,195929,195929,36,10.86,749,93,High,0,0,No,No,Completed,Completed,Approved,Completed,103,East,NBFC
APP00126,2024-01-15,Maharashtra,Mumbai,Manufacturing,4,2740912,8422561,1585013,288539,347581,48971,1952617,0,48,15.47,694,80,High,1,0,No,No,Completed,Completed,Rejected,N/A,44,East,NBFC
